investor_id,asset_symbol,investment_amount
f35ba598-89a0-499a-8465-5cb1262b3107,PFE,5777
f35ba598-89a0-499a-8465-5cb1262b3107,JNJ,7441

f0cdb002-b156-490a-b5d2-f9dc42c3c22e,AAPL,6555
f0cdb002-b156-490a-b5d2-f9dc42c3c22e,GOOGL,6111
f0cdb002-b156-490a-b5d2-f9dc42c3c22e,MSFT,7999

d19a333c-e1fc-4776-93e3-35978a8c8a14,XOM,8122
d19a333c-e1fc-4776-93e3-35978a8c8a14,JNJ,5666

e03957e2-ad6d-4cc6-8933-9cd24fd11737,XOM,6888
e03957e2-ad6d-4cc6-8933-9cd24fd11737,PG,7444
e03957e2-ad6d-4cc6-8933-9cd24fd11737,WMT,6555

82adc190-9e5e-4725-b571-937921528e21,KO,6332
82adc190-9e5e-4725-b571-937921528e21,PEP,5777

9a18c123-5c85-4573-9338-8c794bc29232,XOM,8111
9a18c123-5c85-4573-9338-8c794bc29232,KO,6777
9a18c123-5c85-4573-9338-8c794bc29232,PEP,7444
9a18c123-5c85-4573-9338-8c794bc29232,WMT,8222

31fcba1f-a76a-4dd4-9845-0e165ca57524,PFE,7444
31fcba1f-a76a-4dd4-9845-0e165ca57524,AAPL,8111
31fcba1f-a76a-4dd4-9845-0e165ca57524,MSFT,6555
31fcba1f-a76a-4dd4-9845-0e165ca57524,JNJ,7441

56e39b85-c9ef-43c6-9a26-7142bb0914cb,KO,7222
56e39b85-c9ef-43c6-9a26-7142bb0914cb,PG,5777
56e39b85-c9ef-43c6-9a26-7142bb0914cb,XOM,8444
56e39b85-c9ef-43c6-9a26-7142bb0914cb,PEP,6222

d916d84c-927b-4a8f-97ca-e69c15d5d09b,XOM,5888
d916d84c-927b-4a8f-97ca-e69c15d5d09b,JNJ,6555
d916d84c-927b-4a8f-97ca-e69c15d5d09b,PG,7444

9f15327c-050b-4df2-80c6-1c7f8657b0e4,PFE,8333
9f15327c-050b-4df2-80c6-1c7f8657b0e4,AAPL,7444
9f15327c-050b-4df2-80c6-1c7f8657b0e4,MSFT,6999
9f15327c-050b-4df2-80c6-1c7f8657b0e4,JNJ,5888
9f15327c-050b-4df2-80c6-1c7f8657b0e4,XOM,8122

a43c178a-0985-4330-befb-6c274d506abf,KO,6999
a43c178a-0985-4330-befb-6c274d506abf,PEP,6222
a43c178a-0985-4330-befb-6c274d506abf,XOM,7444
a43c178a-0985-4330-befb-6c274d506abf,PG,5777

98a3a017-3bec-4c4e-a896-fa0c624e37ff,KO,6999
98a3a017-3bec-4c4e-a896-fa0c624e37ff,PEP,5888
98a3a017-3bec-4c4e-a896-fa0c624e37ff,XOM,7999
98a3a017-3bec-4c4e-a896-fa0c624e37ff,PG,6555
98a3a017-3bec-4c4e-a896-fa0c624e37ff,WMT,7444

1a6320f8-d720-4497-8633-18e3696ecaa8,XOM,6222
1a6320f8-d720-4497-8633-18e3696ecaa8,PG,5777
1a6320f8-d720-4497-8633-18e3696ecaa8,WMT,7444
1a6320f8-d720-4497-8633-18e3696ecaa8,KO,8222

66a8a440-49f1-4b11-acc9-4d454a580021,AAPL,8111
66a8a440-49f1-4b11-acc9-4d454a580021,MSFT,6999
66a8a440-49f1-4b11-acc9-4d454a580021,GOOGL,6555
66a8a440-49f1-4b11-acc9-4d454a580021,NVDA,7444

841f95a5-9bbb-45e7-87cd-eafbad877eac,XOM,6888
841f95a5-9bbb-45e7-87cd-eafbad877eac,JNJ,5888
841f95a5-9bbb-45e7-87cd-eafbad877eac,PG,8222
841f95a5-9bbb-45e7-87cd-eafbad877eac,AAPL,7444

f361391e-1f4b-43cb-8c5f-c1672fbb40fd,V,8222
f361391e-1f4b-43cb-8c5f-c1672fbb40fd,JPM,7444
f361391e-1f4b-43cb-8c5f-c1672fbb40fd,AAPL,6555
f361391e-1f4b-43cb-8c5f-c1672fbb40fd,MSFT,6999
f361391e-1f4b-43cb-8c5f-c1672fbb40fd,NVDA,7444

87ca8ae4-42d6-499c-9e12-2fa08d62e78d,XOM,5777
87ca8ae4-42d6-499c-9e12-2fa08d62e78d,WMT,7444

23f9da97-b3e3-4580-88cb-6f9400a8931e,XOM,7444
23f9da97-b3e3-4580-88cb-6f9400a8931e,PG,6888
23f9da97-b3e3-4580-88cb-6f9400a8931e,WMT,7222
23f9da97-b3e3-4580-88cb-6f9400a8931e,KO,7444

345fa57d-c139-483f-90a9-a311d9a3ec5c,V,6555
345fa57d-c139-483f-90a9-a311d9a3ec5c,AAPL,8333
345fa57d-c139-483f-90a9-a311d9a3ec5c,NVDA,7444
345fa57d-c139-483f-90a9-a311d9a3ec5c,MSFT,6999

b2ac0183-c6e8-4c5a-8d7f-38fc94af4ee1,KO,6222
b2ac0183-c6e8-4c5a-8d7f-38fc94af4ee1,PEP,7444

a22f9cc0-eed4-4506-8743-7b4b442f6f58,PFE,7444
a22f9cc0-eed4-4506-8743-7b4b442f6f58,AAPL,8333
a22f9cc0-eed4-4506-8743-7b4b442f6f58,MSFT,6999
a22f9cc0-eed4-4506-8743-7b4b442f6f58,JNJ,5888

1a22a91d-f143-4f6d-815a-f70b5d990a84,PFE,8222
1a22a91d-f143-4f6d-815a-f70b5d990a84,JNJ,7441
1a22a91d-f143-4f6d-815a-f70b5d990a84,AAPL,6555
1a22a91d-f143-4f6d-815a-f70b5d990a84,MSFT,6999

582744dd-0cd0-4fe3-b59d-a96c2e2d4232,AAPL,7222
582744dd-0cd0-4fe3-b59d-a96c2e2d4232,MSFT,6999

c48e5cd6-508d-4ada-8c3e-d7e82593aaa6,XOM,7444
c48e5cd6-508d-4ada-8c3e-d7e82593aaa6,PG,6555
c48e5cd6-508d-4ada-8c3e-d7e82593aaa6,KO,5888
c48e5cd6-508d-4ada-8c3e-d7e82593aaa6,WMT,7222

f7cc276a-a9db-4eac-b668-0ae75878dc76,XOM,6999
f7cc276a-a9db-4eac-b668-0ae75878dc76,KO,7444

eaf57c26-b7f4-4827-a6fc-a9a5eba24fad,PFE,7444
eaf57c26-b7f4-4827-a6fc-a9a5eba24fad,AAPL,8333
eaf57c26-b7f4-4827-a6fc-a9a5eba24fad,MSFT,6999
eaf57c26-b7f4-4827-a6fc-a9a5eba24fad,JNJ,6222

61533138-47e1-4e39-be7d-f117e6705353,AAPL,7444
61533138-47e1-4e39-be7d-f117e6705353,MSFT,6555
61533138-47e1-4e39-be7d-f117e6705353,NVDA,7222

a6f9e0fd-adc6-4fef-8cf5-31aca1203183,XOM,6999
a6f9e0fd-adc6-4fef-8cf5-31aca1203183,PG,6555
a6f9e0fd-adc6-4fef-8cf5-31aca1203183,KO,6222

c3e0d7b7-57c9-4ebc-bf3b-081cfc0e042b,PFE,6555
c3e0d7b7-57c9-4ebc-bf3b-081cfc0e042b,JNJ,7441
c3e0d7b7-57c9-4ebc-bf3b-081cfc0e042b,AAPL,7222

9a351c1d-dd44-4d2c-a5a1-c747e2509c99,XOM,6555
9a351c1d-dd44-4d2c-a5a1-c747e2509c99,WMT,7444

bc4d3c04-6de0-41a1-b22b-92778f2c961c,V,7999
bc4d3c04-6de0-41a1-b22b-92778f2c961c,JPM,6555
bc4d3c04-6de0-41a1-b22b-92778f2c961c,MSFT,6999
bc4d3c04-6de0-41a1-b22b-92778f2c961c,NVDA,7444
bc4d3c04-6de0-41a1-b22b-92778f2c961c,AAPL,8111

bb969a5d-3dc8-4f99-a636-97dfd12d6e33,PFE,5888
bb969a5d-3dc8-4f99-a636-97dfd12d6e33,AAPL,7444
bb969a5d-3dc8-4f99-a636-97dfd12d6e33,MSFT,6555

aba7cf9d-f9ef-4afe-9986-ff327967f15b,XOM,7222
aba7cf9d-f9ef-4afe-9986-ff327967f15b,PG,5777
aba7cf9d-f9ef-4afe-9986-ff327967f15b,WMT,7444

185eba01-3c5e-490f-9906-26d615d1dc96,V,6999
185eba01-3c5e-490f-9906-26d615d1dc96,JPM,7444

0f489fb3-bb90-4130-bbc5-6beec52354b3,XOM,7444
0f489fb3-bb90-4130-bbc5-6beec52354b3,PG,5777

48cc9972-eec7-41df-b441-e4bc78f92c76,XOM,7444
48cc9972-eec7-41df-b441-e4bc78f92c76,PG,6555
48cc9972-eec7-41df-b441-e4bc78f92c76,KO,5888

c18c789a-8799-4395-a156-76eba982e24a,KO,6999
c18c789a-8799-4395-a156-76eba982e24a,PG,5777

76b5d362-8b73-45d5-a5a2-36a8f85025e1,XOM,7444
76b5d362-8b73-45d5-a5a2-36a8f85025e1,WMT,6555

cfb3aff1-f756-48fb-9387-f69c41e30e1e,AAPL,6555
cfb3aff1-f756-48fb-9387-f69c41e30e1e,MSFT,6999
cfb3aff1-f756-48fb-9387-f69c41e30e1e,GOOGL,6222
cfb3aff1-f756-48fb-9387-f69c41e30e1e,NVDA,7444

e5434305-84fa-44e1-bcc7-1e3fb6c24d24,V,7444
e5434305-84fa-44e1-bcc7-1e3fb6c24d24,JPM,6555

5b172e5d-c869-4dfd-abaf-90537e0bc64e,XOM,7444
5b172e5d-c869-4dfd-abaf-90537e0bc64e,PG,5777

f1117225-7003-4382-a3f7-0b2ab8cdae9b,PFE,6555
f1117225-7003-4382-a3f7-0b2ab8cdae9b,AAPL,8333
f1117225-7003-4382-a3f7-0b2ab8cdae9b,MSFT,6999
f1117225-7003-4382-a3f7-0b2ab8cdae9b,JNJ,5888

5d246667-c3c4-496e-a817-9a01bbadf1f3,AAPL,7444
5d246667-c3c4-496e-a817-9a01bbadf1f3,MSFT,6555

75b18a11-3462-4c16-8eda-2ef0de244cb6,V,6999
75b18a11-3462-4c16-8eda-2ef0de244cb6,JPM,7444
75b18a11-3462-4c16-8eda-2ef0de244cb6,MSFT,6999
75b18a11-3462-4c16-8eda-2ef0de244cb6,NVDA,7444

330bde8b-047d-4e19-b0ce-7253a82364a3,KO,6222
330bde8b-047d-4e19-b0ce-7253a82364a3,PEP,7444
